Bedroom,Bathroom,Property Size,Facilities,Building Name,Developer,Tenure Type,Address,Completion Year,# of Floors,Total Units,Property Type,Parking Lot,Floor Range,Land Title,price,state,facility_count,price_per_sqft
3.0,2.0,1598,"Security, Swimming Pool, Gymnasium, Parking, Lift, Playground, Multipurpose hall",The Clovers,Asia Green Group,Freehold,"Jalan Merbah Off Jalan Dato Ismail Hashim, Sungai Ara, Penang",2017.0,42,670,Condominium,2,Medium,Non Bumi Lot,620000,Penang,7,387.9849812265332
3.0,2.0,900,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",Damansara PJ New Condo,,Leasehold,"Bandar Utama, Petaling Jaya, Selangor, Selangor, Bandar Utama",,,,Service Residence,2,,Non Bumi Lot,380000,Bandar Utama,14,422.22222222222223
3.0,2.0,900,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",Damansara PJ New Condo,,Leasehold,"Damansara Jaya, Petaling Jaya, Selangor, Selangor, Damansara Jaya",,,,Service Residence,2,,Non Bumi Lot,380300,Damansara Jaya,14,422.55555555555554
3.0,2.0,1001,"Security, Minimart, Lift, Parking, Playground",Pangsapuri Saujana Permai 2,Majlis Perbandaran Kajang,Freehold,"Jalan Bukit Mutiara 1, Sentosa Heights, Kajang, Selangor",2006.0,22,246,Apartment,2,Medium,Non Bumi Lot,280000,Selangor,5,279.72027972027973
3.0,2.0,850,,Indah Court Apartment (Bukit Indah),,Freehold,"Taman Bukit Indah 2, Bukit Indah, Johor Bahru, Johor",,15,,Apartment,,High,Non Bumi Lot,300000,Johor,,352.94117647058823
4.0,2.0,1180,"Security, Parking, Swimming Pool, Playground, Barbeque area, Minimart, Multipurpose hall, Gymnasium",Nusa Perdana Service Apartment,,Freehold,"Jalan Nusa Perdana, Gelang Patah, Johor",,,,Apartment,,Medium,Non Bumi Lot,298000,Johor,8,252.54237288135593
4.0,2.0,1385,"Security, Gymnasium, Playground, Swimming Pool, Multipurpose hall",Idaman Residence @ Nusa Idaman,UEM Sunrise Berhad,Freehold,"Off Persiaran Indah Utama, Nusa Idaman, Nusajaya, Skudai, Johor",,,42,Apartment,,Low,Non Bumi Lot,469000,Johor,5,338.6281588447653
3.0,2.0,800,Security,Pangsapuri Lotus (Teratai),,Freehold,"Taman Puchong Prima, Puchong, Selangor",,5,,Apartment,1,Low,Non Bumi Lot,270000,Selangor,1,337.5
3.0,2.0,983,"Parking, Security, Barbeque area, Minimart, Playground, Swimming Pool, Gymnasium, Tennis Court",Langat Jaya,,Freehold,"Kampung Melaka, Jalan Datuk Alias,, Cheras, Selangor",,23,,Condominium,1,Medium,Bumi Lot,320000,Selangor,8,325.53407934893187
3.0,3.0,1515,"Parking, Playground, Swimming Pool, Security, Lift, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Jogging Track",Puteri Palma Condominium,IOI Properties Group,Freehold,"SKVE, IOI Resort, Putrajaya, Putrajaya",1998.0,15,198,Condominium,1,Low,Non Bumi Lot,550000,Putrajaya,11,363.036303630363
3.0,3.0,1711,,Village Grove Condominium,,Leasehold,"Taman BDC, Kuching, Sarawak",,,,Condominium,1,High,Non Bumi Lot,470000,Sarawak,,274.69316189362945
3.0,2.0,850,"Security, Parking",Flora Damansara,MK Land Holdings,Leasehold,"Jalan PJU 8/9, Damansara Perdana, Selangor",2015.0,20,1440,Condominium,1,Medium,Non Bumi Lot,245000,Selangor,2,288.2352941176471
3.0,3.0,1667,,Village Grove Condominium,,Leasehold,"Taman BDC, Kuching, Sarawak",,,,Condominium,1,High,Non Bumi Lot,580000,Sarawak,,347.9304139172166
5.0,2.0,2020,,Village Grove Condominium,,Leasehold,"Taman BDC, Kuching, Sarawak",,,,Condominium,2,High,Non Bumi Lot,650000,Sarawak,,321.7821782178218
3.0,2.0,1012,"Playground, Gymnasium, Sauna, Swimming Pool, Security, Barbeque area, Minimart, Parking, Lift, Multipurpose hall",Amara Service Residences,Jaya Megah Development Sdn Bhd,Freehold,"Jalan Raintree Utama, Batu Caves, Selangor",2014.0,23,744,Service Residence,3,Medium,Non Bumi Lot,369900,Selangor,10,365.5138339920949
3.0,2.0,650,"Parking, Security, Lift",Mutiara Vista,Syarikat Perumahan Negara Berhad,Freehold,"Jalan Jelutong, Jelutong, Penang",,27,454,Apartment,1,Medium,Non Bumi Lot,320000,Penang,3,492.3076923076923
3.0,2.0,650,"Security, Playground",Seroja Apartment,S P Setia Bhd,Freehold,"Jalan Setia Murni U13/50, Setia Alam, Selangor",,5,,Apartment,,Medium,Bumi Lot,220000,Selangor,2,338.46153846153845
1.0,1.0,477,"Barbeque area, Multipurpose hall, Security, Playground, Swimming Pool, Gymnasium, Parking, Lift, Sauna",Kiara Plaza,SYF Development,Freehold,"Jalan Semenyih, Semenyih, Selangor",2017.0,23,763,Service Residence,1,Low,Non Bumi Lot,220000,Selangor,9,461.2159329140461
3.0,2.0,1117,"Swimming Pool, Parking, Security, Lift, Playground, Gymnasium",Casa Kayangan,Perbadanan Kemajuan Negeri Perak (PKNP),Freehold,"Persiaran Meru Raya 2, Ipoh, Perak",,,,Apartment,,,Bumi Lot,320000,Perak,6,286.4816472694718
2.0,1.0,516,,Bandar Selesa Jaya,,Freehold,"Jalan Silat Gayong 14, Bandar Selesa Jaya, Skudai, Johor",,,,Flat,,,Non Bumi Lot,118000,Johor,,228.68217054263565
2.0,1.0,494,,Flat Taman Ungku Tun Aminah,Tasek Maju Realty Sdn Bhd,Freehold,"Taman Ungku Tun Aminah, Skudai, Johor",,,,Flat,,High,Non Bumi Lot,125000,Johor,,253.03643724696357
3.0,3.0,1200,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",Vista Harmoni,,Freehold,"Jalan Sentul, Kuala Lumpur, Sentul",,,,Condominium,2,Medium,Non Bumi Lot,530000,Sentul,14,441.6666666666667
4.0,3.0,1300,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",MiNest Residence,Mi Nest Development Sdn Bhd,Freehold,"Jalan Sinar Sentul, Sentul, Kuala Lumpur",2023.0,44,684,Service Residence,3,Medium,Non Bumi Lot,518000,Kuala Lumpur,14,398.46153846153845
2.0,1.0,526,,Selera Jaya flat,,Freehold,"Block 1x-02xx, selera jaya flat, jalan silat Gayong 18, Bandar selesa jaya,, Johor, Skudai",,,,Flat,,Low,Non Bumi Lot,110000,Skudai,,209.1254752851711
3.0,2.0,1261,"Gymnasium, Parking, Security, Swimming Pool, Lift, Playground, Sauna, Barbeque area, Multipurpose hall, Minimart",Trinity Aquata,Trinity Group,Freehold,"Sungai Besi, Sungai Besi, Kuala Lumpur",2019.0,26,344,Condominium,2,High,Non Bumi Lot,659900,Kuala Lumpur,10,523.3148295003965
3.0,3.0,1690,"Parking, Lift, Security, Playground, Swimming Pool, Minimart, Multipurpose hall, Sauna, Gymnasium, Barbeque area",8 Petaling,Petaling Garden Sdn Bhd (I & P Group),Freehold,"Jalan Radin, Zone K, Bandar Baru Sri Petaling, Sri Petaling, Kuala Lumpur",2014.0,18,156,Condominium,2,Low,Bumi Lot,738000,Kuala Lumpur,10,436.68639053254435
